rank,dist_lgd,district,state_lgd,state_ut,sub_dist,subdis_lg,subdis_ty,vill_cat,vill_lgd,vill_name,src_state,src_file,objectid,ntl_2021,ntl_latest,ntl_abs_growth,ntl_abs_growth_clean,ntl_pct_growth_clean,shp_area,shp_leng
1,432.0,NEEMUCH,23.0,MADHYA PRADESH,RAMPURA,6774.0,TAHSIL,Rural,468953.0,KHEMLA BLOCK,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,32174.0,0.436099299,26.97755914,26.54145984,26.54145984,6086.104677,2848104.909,7730.418128
2,432.0,NEEMUCH,23.0,MADHYA PRADESH,RAMPURA,6774.0,TAHSIL,Rural,468955.0,GHADOD,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,32175.0,0.379837052,13.47259595,13.0927589,13.0927589,3446.94095,4871162.498,13725.6749
3,432.0,NEEMUCH,23.0,MADHYA PRADESH,RAMPURA,6774.0,TAHSIL,Rural,468956.0,RONDHANA,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,31945.0,0.339537008,11.40290668,11.06336967,11.06336967,3258.369316,8216854.67,13454.76766
4,41.0,LUDHIANA,3.0,PUNJAB,LUDHIANA EAST,227.0,TEHSIL,RURAL,33445.0,KARIANA KHURD,PUNJAB,PUNJAB\PUNJAB.shp,10018.0,1.781206459,30.84462443,29.06341797,29.06341797,1631.670367,1593648.469,6974.126944
5,386.0,KHORDHA,21.0,ODISHA,BEGUNIA,6600.0,Tehsil,Rural,407211.0,BHUINPUR,ODISHA,ODISHA\ODISHA.shp,59488.0,0.598603426,7.811508553,7.212905127,7.212905127,1204.955537,1914343.707,7659.404927
6,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487159.0,Begania,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36598.0,0.62056482,7.748126,7.127561179,7.127561179,1148.560303,2539389.865,7391.946895
7,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,DOLARIYA,3615.0,TAHSIL,Rural,487481.0,Kajlas,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36152.0,0.764964784,9.108263092,8.343298308,8.343298308,1090.677438,4399873.743,11402.81383
8,384.0,ANGUL,21.0,ODISHA,CHHENDIPADA,6586.0,Tehsil,Rural,404363.0,MALIMALIBRAHMANI,ODISHA,ODISHA\ODISHA.shp,80265.0,2.832413251,32.12759801,29.29518476,29.29518476,1034.283566,2442100.503,7853.027884
9,374.0,SUNDARGARH,21.0,ODISHA,HEMGIR,6457.0,Tehsil,Rural,383475.0,MENDARA,ODISHA,ODISHA\ODISHA.shp,35641.0,1.024081033,11.49541839,10.47133736,10.47133736,1022.510624,2134510.844,6963.439972
10,391.0,BOUDH,21.0,ODISHA,HARABHANGA,6664.0,Tehsil,Rural,418703.0,GUNDURISAHI(KA),ODISHA,ODISHA\ODISHA.shp,93807.0,0.458523375,5.009324116,4.550800742,4.550800742,992.4904583,530729.546,3336.195402
11,448.0,HARDA,23.0,MADHYA PRADESH,TIMARNI,3610.0,TAHSIL,Rural,486971.0,JHAGAR,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,13560.0,0.523297687,5.642047673,5.118749986,5.118749986,978.1717205,4737790.402,10587.13561
12,41.0,LUDHIANA,3.0,PUNJAB,LUDHIANA EAST,227.0,TEHSIL,RURAL,33446.0,DHANANSU,PUNJAB,PUNJAB\PUNJAB.shp,1654.0,1.59314107,16.81121885,15.21807778,15.21807778,955.2247486,42489.20873,909.9018866
13,463.0,SINGRAULI,23.0,MADHYA PRADESH,BARGAWAN,6826.0,TAHSIL,Others,,RF,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,10151.0,0.554544144,5.776120854,5.22157671,5.22157671,941.5980254,11929685.02,31054.33727
14,445.0,SEHORE,23.0,MADHYA PRADESH,NASRULLAGANJ,3587.0,TAHSIL,Rural,483406.0,Borkhedi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,17454.0,0.914439479,9.421300336,8.506860857,8.506860857,930.2814514,4124167.147,9921.102469
15,433.0,MANDSAUR,23.0,MADHYA PRADESH,GAROTH,3494.0,TAHSIL,Rural,469387.0,PIPALIYA MITTESHA,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,30723.0,1.114356923,11.33343708,10.21908016,10.21908016,917.038334,4713500.727,9342.797397
16,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487224.0,Makodiya,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36536.0,0.565827209,5.666496478,5.100669269,5.100669269,901.4535158,6956151.625,11074.23366
17,445.0,SEHORE,23.0,MADHYA PRADESH,NASRULLAGANJ,3587.0,TAHSIL,Rural,483443.0,Amba jadeed,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,17465.0,0.84345075,8.139962357,7.296511607,7.296511607,865.0785607,5516185.855,10323.36364
18,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487185.0,Dhandiwada,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36601.0,0.504471631,4.83071292,4.32624129,4.32624129,857.5787077,3385536.617,8874.507728
19,452.0,NARSIMHAPUR,23.0,MADHYA PRADESH,KARELI,3637.0,TAHSIL,Rural,491283.0,SARASDOL,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,43666.0,0.741330774,7.075092785,6.333762011,6.333762011,854.377322,4034948.529,8277.228302
20,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487177.0,Manakpur,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36603.0,0.43867562,4.167926504,3.729250884,3.729250884,850.1158283,2220625.961,7756.410921
21,374.0,SUNDARGARH,21.0,ODISHA,KOIDA,6474.0,Tehsil,Rural,384762.0,GHODABUDHANI,ODISHA,ODISHA\ODISHA.shp,35265.0,4.133944892,38.73294721,34.59900232,34.59900232,836.9488037,2419074.352,7944.384977
22,722.0,NIWARI,23.0,MADHYA PRADESH,PRITHVIPUR,3417.0,TAHSIL,Rural,456577.0,Sunrai bhata,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,55328.0,0.640423835,5.951323936,5.310900101,5.310900101,829.2789578,3445106.283,9424.612753
23,457.0,BALAGHAT,23.0,MADHYA PRADESH,WARASEONI,3669.0,TAHSIL,Rural,497397.0,Sarandi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,38823.0,0.662774654,6.095897973,5.43312332,5.43312332,819.754239,3821780.611,10321.149
24,452.0,NARSIMHAPUR,23.0,MADHYA PRADESH,GADARWARA,3635.0,TAHSIL,Rural,490912.0,RICHHAI,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,43466.0,0.503480841,4.500463253,3.996982412,3.996982412,793.8698137,6491108.495,13526.01794
25,374.0,SUNDARGARH,21.0,ODISHA,KOIDA,6474.0,Tehsil,Rural,384751.0,NADIKASHIRA,ODISHA,ODISHA\ODISHA.shp,35294.0,1.458040268,12.77185407,11.3138138,11.3138138,775.960311,1262094.504,5203.174143
26,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487209.0,Surangi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36580.0,0.520800849,4.459748275,3.938947426,3.938947426,756.3250772,3273105.755,8717.25762
27,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,DOLARIYA,3615.0,TAHSIL,Rural,487484.0,Aawari,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36153.0,0.581564574,4.974555068,4.392990493,4.392990493,755.3744997,5207124.318,11986.75534
28,374.0,SUNDARGARH,21.0,ODISHA,HEMGIR,6457.0,Tehsil,Rural,383476.0,JAMUKANI,ODISHA,ODISHA\ODISHA.shp,35664.0,0.899594919,7.618611738,6.71901682,6.71901682,746.8935941,4985158.271,16612.81858
29,722.0,NIWARI,23.0,MADHYA PRADESH,PRITHVIPUR,3417.0,TAHSIL,Rural,456568.0,Sakera khurd bhata,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,55326.0,0.609857588,5.15909439,4.549236802,4.549236802,745.9506767,1141840.84,5042.606488
30,76.0,SONIPAT,6.0,HARYANA,Kharkhoda,381.0,TEHSIL,RURAL,59943.0,KUNDAL,HARYANA,HARYANA\Latest village boundary_HARYANA\HARYANA\HARYANA.shp,2741.0,1.898304873,16.03331075,14.13500588,14.13500588,744.6119998,3524064.995,9581.54276
31,433.0,MANDSAUR,23.0,MADHYA PRADESH,GAROTH,3494.0,TAHSIL,Rural,469385.0,RUPRA,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,30739.0,1.328078551,11.17324301,9.845164456,9.845164456,741.3088967,2758258.003,8771.030297
32,384.0,ANGUL,21.0,ODISHA,CHHENDIPADA,6586.0,Tehsil,Rural,404356.0,RAIJHARAN,ODISHA,ODISHA\ODISHA.shp,80431.0,0.84967414,7.055971884,6.206297744,6.206297744,730.4326976,9142613.7,14149.93488
33,388.0,GANJAM,21.0,ODISHA,CHHATRAPUR,6638.0,Tehsil,Rural,412155.0,LAKSHMIPUR,ODISHA,ODISHA\ODISHA.shp,100094.0,1.534372768,12.7179914,11.18361863,11.18361863,728.8723355,639565.0649,4133.614483
34,457.0,BALAGHAT,23.0,MADHYA PRADESH,WARASEONI,3669.0,TAHSIL,Rural,497396.0,Sawangi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,38822.0,0.534596605,4.420081614,3.885485009,3.885485009,726.8069001,8077590.394,13291.9783
35,445.0,SEHORE,23.0,MADHYA PRADESH,SEHORE,3582.0,TAHSIL,Rural,482604.0,CHITODIYA HEMA,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,17635.0,0.998426968,8.193594497,7.195167529,7.195167529,720.6503588,3338977.432,8465.376354
36,85.0,REWARI,6.0,HARYANA,Manethi ST,,SUB TEHSIL,RURAL,62499.0,MAJRA MUTSIL BHALKI,HARYANA,HARYANA\Latest village boundary_HARYANA\HARYANA\HARYANA.shp,459.0,1.550311899,12.62186048,11.07154858,11.07154858,714.1497519,5190387.206,12885.1552
37,667.0,AGAR MALWA,23.0,MADHYA PRADESH,AGAR,3518.0,TAHSIL,Rural,472588.0,PACHORA,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,22155.0,0.619500349,5.011833443,4.392333094,4.392333094,709.012206,4076819.096,9823.996698
38,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,DOLARIYA,3615.0,TAHSIL,Rural,487501.0,Gunaura,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36123.0,0.699985379,5.519952048,4.81996667,4.81996667,688.5810497,13429007.66,19111.99791
39,384.0,ANGUL,21.0,ODISHA,TALCHER,6585.0,Tehsil,Rural,404025.0,BANGU,ODISHA,ODISHA\ODISHA.shp,80178.0,8.171085956,64.3242362,56.15315024,56.15315024,687.2177155,337266.7654,2308.440815
40,391.0,BOUDH,21.0,ODISHA,HARABHANGA,6664.0,Tehsil,Rural,418441.0,MAHAKURAPALI,ODISHA,ODISHA\ODISHA.shp,93172.0,0.336894208,2.649960587,2.313066379,2.313066379,686.5853808,1702754.34,6210.015118
41,374.0,SUNDARGARH,21.0,ODISHA,KOIDA,6474.0,Tehsil,Rural,384802.0,KRIAKUDAR,ODISHA,ODISHA\ODISHA.shp,34898.0,0.61740568,4.844700141,4.227294461,4.227294461,684.6866816,2102478.302,6253.491152
42,438.0,DHAR,23.0,MADHYA PRADESH,DHARAMPURI,3539.0,TAHSIL,Rural,475845.0,Jetapur,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,24756.0,1.789570652,14.03566136,12.24609071,12.24609071,684.303282,3864377.144,8021.22094
43,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487126.0,Rasi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36588.0,0.535993428,4.197843038,3.66184961,3.66184961,683.1892741,5100903.346,10348.23394
44,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487256.0,Kishanpur,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36545.0,0.477321993,3.711171734,3.233849741,3.233849741,677.498584,923460.5313,4787.670358
45,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487158.0,Kans khedi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36597.0,0.581015129,4.516297125,3.935281997,3.935281997,677.3114506,5473037.371,12309.10232
46,463.0,SINGRAULI,23.0,MADHYA PRADESH,SARAI,6826.0,TAHSIL,Rural,504046.0,BELWAR,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,2505.0,0.83017622,6.443120411,5.61294419,5.61294419,676.1147877,1429133.029,5457.189497
47,386.0,KHORDHA,21.0,ODISHA,BEGUNIA,6600.0,Tehsil,Rural,407212.0,GOLAPATANA,ODISHA,ODISHA\ODISHA.shp,59490.0,0.618112413,4.746584637,4.128472225,4.128472225,667.9160846,1589887.661,8308.552531
48,449.0,NARMADAPURAM,23.0,MADHYA PRADESH,SEONIMALWA,3612.0,TAHSIL,Rural,487186.0,Mahuadhana,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,36602.0,0.503400927,3.851053064,3.347652137,3.347652137,665.0071457,5536147.549,13365.98021
49,446.0,RAISEN,23.0,MADHYA PRADESH,RAISEN,3590.0,TAHSIL,Rural,483680.0,Nonakhedi,MADHYA PRADESH,MADHYA_PRADESH\MADHYA_PRADESH.shp,16561.0,1.645952653,12.5712912,10.92533855,10.92533855,663.7699165,1328364.539,6055.392582
